value;name;category;motor;description;location;items;image;opportunity
R$ 322.000;SPIRIT OF ECSTASY;USADO;Motor 3.0 32v;Ano 2011 - 107.484 km;Belo Horizonte - MG;['Ar condicionado', 'Travas elétricas', 'Rodas de liga', 'Bancos de couro'];spirit-of-ecstasy-188975__340.png;
R$ 194.000;PORSCHE 911 GT2RS;USADO;Motor 3.0 32v;Ano 1992 - 908 km;Rio de Janeiro - RJ;['Piloto automático', 'Painel digital', 'Ar condicionado', 'Vidros elétricos'];porsche-911-gt2rs-3076518__340.png;
R$ 469.000;KOENIGSEGG;USADO;Motor 2.4 Turbo;Ano 2015 - 22.485 km;São Paulo - SP;['Sensor crepuscular', 'Painel digital', 'Teto panorâmico', 'Vidros elétricos'];koenigsegg-2086612__340.png;
R$ 424.000;LIMOUSINE;USADO;Motor Diesel V6;Ano 1996 - 23.007 km;Belo Horizonte - MG;['4 X 4', 'Câmera de estacionamento', 'Painel digital', 'Controle de tração'];limousine-1126028__340.png;OPORTUNIDADE
R$ 291.000;FERRARI FF;USADO;Motor 4.0 Turbo;Ano 2002 - 106.389 km;Belo Horizonte - MG;['Rodas de liga', 'Bancos de couro', 'Freios ABS', 'Travas elétricas'];ferrari-ff-2975657__340.png;
R$ 96.000;OFFENBURG;USADO;Motor 5.0 V8 Bi-Turbo;Ano 1990 - 78.181 km;Rio de Janeiro - RJ;['Freios ABS', 'Piloto automático', 'Controle de estabilidade', 'Vidros elétricos'];offenburg-3898117__340.png;
R$ 271.000;MUSTANG;USADO;Motor Diesel V8;Ano 1998 - 86.001 km;São Paulo - SP;['Sensor de estacionamento', 'Ar condicionado', 'Central multimídia', 'Travas elétricas'];mustang-1184505__340.png;
R$ 387.000;LUXURY;NOVO;Motor 2.4 Turbo;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Rodas de liga', 'Controle de tração', 'Freios ABS', 'Sensor de estacionamento'];luxury-2493869__340.png;
R$ 483.000;BMW M5;USADO;Motor 3.0 32v;Ano 2017 - 10.747 km;Rio de Janeiro - RJ;['Painel digital', 'Central multimídia', 'Vidros elétricos', 'Ar condicionado'];bmw-m5-2932194__340.png;
R$ 285.000;PORSCHE 911 GT3RS;USADO;Motor Diesel;Ano 1991 - 28.617 km;Belo Horizonte - MG;['Painel digital', 'Controle de estabilidade', '4 X 4', 'Sensor de chuva'];porsche-911-gt3rs-2933986__340.png;
R$ 357.000;GOLD;NOVO;Motor V8;Ano 2019 - 0 km;Belo Horizonte - MG;['Ar condicionado', 'Travas elétricas', 'Sensor de chuva', 'Bancos de couro'];gold-2428523__340.png;
R$ 106.000;CABRIOLET;NOVO;Motor Diesel V6;Ano 2019 - 0 km;Belo Horizonte - MG;['Sensor de estacionamento', 'Teto panorâmico', 'Sensor crepuscular', 'Ar condicionado'];cabriolet-4170187__340.png;OPORTUNIDADE
R$ 439.000;CHRYSLER 300;USADO;Motor 2.0 16v;Ano 2009 - 67.480 km;Rio de Janeiro - RJ;['Rodas de liga', 'Câmera de estacionamento', 'Sensor crepuscular', 'Travas elétricas'];chrysler-300-2864861__340.png;
R$ 143.000;CLASSIC;NOVO;Motor 4.0 Turbo;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Painel digital', 'Teto panorâmico', 'Travas elétricas', 'Sensor de estacionamento'];classic-1678559__340.png;
R$ 155.000;DODGE;USADO;Motor 2.0 16v;Ano 1999 - 85.451 km;Belo Horizonte - MG;['Freios ABS', '4 X 4', 'Sensor de chuva', 'Rodas de liga'];dodge-2915589__340.png;
R$ 337.000;VINTAGE AUTOMOBILE;NOVO;Motor 5.0 V8 Bi-Turbo;Ano 2019 - 0 km;São Paulo - SP;['Travas elétricas', 'Câmbio automático', 'Bancos de couro', 'Teto panorâmico'];vintage-automobile-1672058__340.png;
R$ 89.000;CORVETTE;USADO;Motor 1.8 16v;Ano 1996 - 107.305 km;Belo Horizonte - MG;['Piloto automático', 'Controle de estabilidade', 'Freios ABS', 'Ar condicionado'];corvette-2291857__340.png;
R$ 193.000;OPEL;USADO;Motor 4.0 Turbo;Ano 1997 - 119.942 km;Rio de Janeiro - RJ;['Central multimídia', 'Piloto automático', 'Sensor de estacionamento', 'Ar condicionado'];opel-2896688__340.png;
R$ 356.000;AUDI R8;USADO;Motor 1.8 16v;Ano 1993 - 86.338 km;Belo Horizonte - MG;['Painel digital', 'Travas elétricas', 'Vidros elétricos', '4 X 4'];audi-r8-1548170__340.png;
R$ 141.000;ASTON MARTIN VULCAN;NOVO;Motor Diesel;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Câmbio automático', 'Sensor de chuva', 'Controle de tração', 'Teto panorâmico'];aston-martin-vulcan-2918114__340.png;
R$ 176.000;TRIUMPH MOTOR COMPANY;NOVO;Motor V6;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Central multimídia', 'Ar condicionado', 'Bancos de couro', 'Câmera de estacionamento'];triumph-motor-company-3403574__340.png;OPORTUNIDADE
R$ 65.000;VINTAGE CAR;USADO;Motor V8;Ano 2003 - 59.288 km;Rio de Janeiro - RJ;['Freios ABS', 'Piloto automático', 'Sensor de chuva', 'Vidros elétricos'];vintage-car-1049882__340.png;
R$ 449.000;ACURA HEADLAMP;NOVO;Motor V6;Ano 2019 - 0 km;Belo Horizonte - MG;['Câmera de estacionamento', 'Câmbio automático', 'Piloto automático', 'Central multimídia'];acura-headlamp-2834131__340.png;
R$ 379.000;LUXURY CARS;USADO;Motor Diesel V8;Ano 2014 - 37.738 km;Rio de Janeiro - RJ;['Rodas de liga', 'Painel digital', 'Sensor de estacionamento', 'Teto panorâmico'];luxury-cars-1197705__340.png;OPORTUNIDADE
R$ 262.000;FERRARI 458 SPIDER;USADO;Motor V6;Ano 1993 - 24.316 km;Belo Horizonte - MG;['Central multimídia', 'Controle de estabilidade', 'Piloto automático', 'Sensor de chuva'];ferrari-458-spider-2932191__340.png;
R$ 356.000;CLASSIC AUTOMOBILE;USADO;Motor 3.0 32v;Ano 2016 - 35.762 km;Rio de Janeiro - RJ;['Câmbio automático', 'Sensor de estacionamento', 'Bancos de couro', 'Câmera de estacionamento'];classic-automobile-1672002__340.png;
R$ 459.000;INFINITY;USADO;Motor 2.4 Turbo;Ano 1990 - 51.693 km;Rio de Janeiro - RJ;['Câmera de estacionamento', 'Piloto automático', 'Ar condicionado', 'Painel digital'];infinity-1568821__340.png;
R$ 183.000;ASTON MARTIN VANQUISH;NOVO;Motor 4.0 Turbo;Ano 2019 - 0 km;São Paulo - SP;['Painel digital', 'Piloto automático', 'Sensor de estacionamento', 'Sensor crepuscular'];aston-martin-vanquish-2975656__340.png;OPORTUNIDADE
R$ 61.000;MERCEDES BENZ 190 SL;USADO;Motor 3.0 32v;Ano 1994 - 111.906 km;Belo Horizonte - MG;['Câmbio automático', 'Freios ABS', 'Sensor crepuscular', 'Controle de estabilidade'];mercedes-benz-190-sl-2982511__340.png;OPORTUNIDADE
R$ 225.000;AUDI TT;USADO;Motor Diesel V6;Ano 2008 - 82.711 km;São Paulo - SP;['Sensor de chuva', 'Rodas de liga', 'Câmera de estacionamento', 'Travas elétricas'];audi-tt-1037977__340.png;
R$ 181.000;DISTRICT;USADO;Motor Diesel V6;Ano 1995 - 36.215 km;São Paulo - SP;['Sensor de chuva', 'Rodas de liga', 'Piloto automático', '4 X 4'];district-4226500__340.png;
R$ 460.000;VINTAGE;USADO;Motor 4.0 Turbo;Ano 2005 - 63.879 km;Rio de Janeiro - RJ;['4 X 4', 'Ar condicionado', 'Câmbio automático', 'Controle de estabilidade'];vintage-1275225__340.png;
R$ 161.000;AUDI;NOVO;Motor Diesel V6;Ano 2019 - 0 km;São Paulo - SP;['Piloto automático', 'Bancos de couro', 'Painel digital', 'Controle de tração'];audi-1059039__340.png;
R$ 188.000;AUDI RS6;USADO;Motor Diesel V6;Ano 1999 - 26.215 km;Belo Horizonte - MG;['Travas elétricas', 'Central multimídia', 'Vidros elétricos', 'Ar condicionado'];audi-rs6-2934125__340.png;OPORTUNIDADE
R$ 97.000;FERRARI 458 SPECIALE;USADO;Motor Diesel V6;Ano 2018 - 1 km;São Paulo - SP;['Freios ABS', 'Controle de estabilidade', 'Painel digital', 'Ar condicionado'];ferrari-458-speciale-2918112__340.png;
R$ 415.000;TRUCK;USADO;Motor 4.0 Turbo;Ano 2001 - 68.038 km;Belo Horizonte - MG;['Rodas de liga', 'Sensor de estacionamento', 'Vidros elétricos', 'Câmbio automático'];truck-2158284__340.png;
R$ 172.000;CORVETTE STINGRAY;USADO;Motor 1.8 16v;Ano 1996 - 86.477 km;São Paulo - SP;['Câmbio automático', 'Controle de estabilidade', 'Sensor de estacionamento', 'Ar condicionado'];corvette-stingray-1693709__340.png;
R$ 281.000;LAMBORGHINI;USADO;Motor 3.0 32v;Ano 2004 - 103.570 km;Rio de Janeiro - RJ;['Vidros elétricos', 'Câmbio automático', 'Piloto automático', 'Teto panorâmico'];lamborghini-1104868__340.png;
R$ 396.000;CHRYSLER;NOVO;Motor 3.0 32v;Ano 2019 - 0 km;São Paulo - SP;['4 X 4', 'Ar condicionado', 'Câmera de estacionamento', 'Sensor de estacionamento'];chrysler-836045__340.png;
R$ 450.000;RANGE ROVER;USADO;Motor V6;Ano 2014 - 85.686 km;São Paulo - SP;['Sensor de chuva', 'Ar condicionado', 'Painel digital', 'Teto panorâmico'];range-rover-2015635__340.png;
R$ 470.000;HAMMER;NOVO;Motor Diesel V8;Ano 2019 - 0 km;Belo Horizonte - MG;['Bancos de couro', 'Travas elétricas', 'Sensor de estacionamento', 'Controle de tração'];hammer-4294076__340.png;
R$ 64.000;FELICIA;USADO;Motor 2.0 16v;Ano 1990 - 68.513 km;Belo Horizonte - MG;['Central multimídia', 'Painel digital', 'Ar condicionado', '4 X 4'];felicia-3619629__340.png;
R$ 343.000;MASERATI GRANTURISMO;USADO;Motor 5.0 V8 Bi-Turbo;Ano 2011 - 71.783 km;São Paulo - SP;['Piloto automático', 'Bancos de couro', '4 X 4', 'Sensor crepuscular'];maserati-granturismo-2933798__340.png;
R$ 106.000;LAMBORGHINI AVENTADOR S;USADO;Motor Diesel V8;Ano 2017 - 115.844 km;São Paulo - SP;['Câmera de estacionamento', 'Sensor de estacionamento', 'Central multimídia', 'Teto panorâmico'];lamborghini-aventador-s-2943829__340.png;
R$ 493.000;BENTLEY;USADO;Motor V6;Ano 1994 - 46.442 km;Belo Horizonte - MG;['Vidros elétricos', 'Piloto automático', 'Sensor crepuscular', '4 X 4'];bentley-1273358__340.png;
R$ 370.000;ASTON;NOVO;Motor 2.4 Turbo;Ano 2019 - 0 km;São Paulo - SP;['Painel digital', 'Piloto automático', 'Freios ABS', 'Controle de estabilidade'];aston-884085__340.png;
R$ 474.000;LAMBORGHINI GALLARDO;USADO;Motor 5.0 V8 Bi-Turbo;Ano 1993 - 77.846 km;São Paulo - SP;['4 X 4', 'Painel digital', 'Travas elétricas', 'Sensor crepuscular'];lamborghini-gallardo-2872975__340.png;
R$ 420.000;BMW 1M;USADO;Motor 1.0 8v;Ano 2014 - 28.833 km;Belo Horizonte - MG;['Sensor crepuscular', 'Sensor de chuva', 'Piloto automático', 'Câmera de estacionamento'];bmw-1m-2933795__340.png;
R$ 215.000;MERCEDES S CLASS;NOVO;Motor 2.4 Turbo;Ano 2019 - 0 km;São Paulo - SP;['Central multimídia', 'Câmera de estacionamento', 'Sensor de estacionamento', 'Painel digital'];mercedes-s-class-2724977__340.png;
R$ 236.000;VINTAGE AUTO;USADO;Motor 5.0 V8 Bi-Turbo;Ano 2014 - 59.723 km;Belo Horizonte - MG;['Freios ABS', 'Piloto automático', 'Controle de estabilidade', 'Sensor crepuscular'];vintage-auto-1618836__340.png;
R$ 124.000;LEATHER STEERING WHEEL;USADO;Motor V6;Ano 2001 - 74.365 km;Rio de Janeiro - RJ;['Controle de tração', '4 X 4', 'Câmera de estacionamento', 'Controle de estabilidade'];leather-steering-wheel-2654960__340.png;OPORTUNIDADE
R$ 125.000;DKW;USADO;Motor 2.0 16v;Ano 1994 - 112.727 km;São Paulo - SP;['Controle de tração', 'Travas elétricas', 'Controle de estabilidade', 'Sensor crepuscular'];dkw-836018__340.png;
R$ 151.000;FERRARI;USADO;Motor 1.8 16v;Ano 2011 - 111.255 km;Rio de Janeiro - RJ;['4 X 4', 'Controle de tração', 'Travas elétricas', 'Teto panorâmico'];ferrari-1766283__340.png;
R$ 351.000;BMW M3;USADO;Motor Diesel V8;Ano 2000 - 21.968 km;Rio de Janeiro - RJ;['Teto panorâmico', 'Sensor de chuva', 'Ar condicionado', 'Câmera de estacionamento'];bmw-m3-2963683__340.png;
R$ 223.000;TUNING;NOVO;Motor Diesel V6;Ano 2019 - 0 km;São Paulo - SP;['Câmbio automático', 'Ar condicionado', 'Bancos de couro', 'Controle de tração'];tuning-342255__340.png;
R$ 79.000;LINCOLN MKZ;NOVO;Motor Diesel V6;Ano 2019 - 0 km;São Paulo - SP;['Bancos de couro', 'Sensor de chuva', 'Sensor de estacionamento', 'Freios ABS'];lincoln-mkz-2734608__340.png;
R$ 252.000;MASERATI LEVANTE;NOVO;Motor V8;Ano 2019 - 0 km;São Paulo - SP;['Controle de tração', 'Sensor de estacionamento', 'Freios ABS', 'Painel digital'];maserati-levante-4179430__340.png;
R$ 357.000;ROLLSROYCE;USADO;Motor 4.0 Turbo;Ano 1991 - 5.947 km;Belo Horizonte - MG;['Central multimídia', 'Piloto automático', 'Controle de estabilidade', 'Câmbio automático'];rollsroyce-1464403__340.png;
R$ 396.000;MERCEDES BENZ;NOVO;Motor Diesel V6;Ano 2019 - 0 km;São Paulo - SP;['Vidros elétricos', 'Controle de tração', 'Painel digital', 'Rodas de liga'];mercedes-benz-1036353__340.png;
R$ 460.000;MORGAN ROADSTER;USADO;Motor 2.0 16v;Ano 1999 - 102.662 km;São Paulo - SP;['Ar condicionado', 'Travas elétricas', 'Controle de tração', 'Freios ABS'];morgan-roadster-3614696__340.png;
R$ 72.000;TOYOTA LAND CRUISER;USADO;Motor 2.0 16v;Ano 1990 - 46.571 km;São Paulo - SP;['Rodas de liga', '4 X 4', 'Travas elétricas', 'Câmera de estacionamento'];toyota-land-cruiser-2943058__340.png;
R$ 422.000;MERCEDES BENZ 300 SL;NOVO;Motor V8;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Painel digital', 'Vidros elétricos', 'Teto panorâmico', 'Sensor crepuscular'];mercedes-benz-300-sl-2523221__340.png;
R$ 399.000;CASABLANCA;USADO;Motor 5.0 V8 Bi-Turbo;Ano 2003 - 9.912 km;Belo Horizonte - MG;['Ar condicionado', 'Freios ABS', 'Câmera de estacionamento', 'Vidros elétricos'];casablanca-1650772__340.png;
R$ 455.000;BUGATTI;USADO;Motor 1.0 8v;Ano 1993 - 81.154 km;Rio de Janeiro - RJ;['Freios ABS', 'Painel digital', 'Controle de estabilidade', 'Controle de tração'];bugatti-4200700__340.png;
R$ 173.000;PORSCHE CARRERA GT;NOVO;Motor 3.0 32v;Ano 2019 - 0 km;Belo Horizonte - MG;['Sensor de estacionamento', 'Vidros elétricos', 'Piloto automático', 'Painel digital'];porsche-carrera-gt-3000128__340.png;
R$ 340.000;BLACK AND WHITE;USADO;Motor 2.0 16v;Ano 2005 - 86.899 km;Belo Horizonte - MG;['Painel digital', 'Teto panorâmico', 'Sensor crepuscular', 'Rodas de liga'];black-and-white-1284271__340.png;
R$ 443.000;BMW I8;USADO;Motor 3.0 32v;Ano 1994 - 112.579 km;Rio de Janeiro - RJ;['Freios ABS', 'Ar condicionado', '4 X 4', 'Teto panorâmico'];bmw-i8-2747729__340.png;
R$ 383.000;SUBARU;USADO;Motor Diesel;Ano 1995 - 48.416 km;São Paulo - SP;['Sensor de chuva', 'Freios ABS', '4 X 4', 'Teto panorâmico'];subaru-2281266__340.png;
R$ 287.000;AMAZING;USADO;Motor 4.0 Turbo;Ano 2015 - 111.613 km;Rio de Janeiro - RJ;['Controle de estabilidade', 'Central multimídia', 'Câmera de estacionamento', 'Câmbio automático'];amazing-2369407__340.png;
R$ 350.000;AUSTIN HEALEY;USADO;Motor Diesel;Ano 2003 - 15.810 km;Belo Horizonte - MG;['Sensor de estacionamento', 'Teto panorâmico', 'Controle de estabilidade', 'Câmbio automático'];austin-healey-1019023__340.png;OPORTUNIDADE
R$ 276.000;FORD;USADO;Motor V8;Ano 1995 - 115.874 km;São Paulo - SP;['Travas elétricas', 'Câmbio automático', 'Central multimídia', '4 X 4'];ford-3858517__340.png;
R$ 163.000;ROLLS ROYCE WRAITH;USADO;Motor Diesel;Ano 2010 - 99.918 km;São Paulo - SP;['Freios ABS', 'Controle de estabilidade', 'Painel digital', 'Câmbio automático'];rolls-royce-wraith-1063533__340.png;
R$ 107.000;MERCEDES E63;NOVO;Motor 5.0 V8 Bi-Turbo;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Sensor de chuva', 'Central multimídia', 'Ar condicionado', 'Controle de estabilidade'];mercedes-e63-2945875__340.png;OPORTUNIDADE
R$ 173.000;MCLAREN MP4 12C;NOVO;Motor Diesel V6;Ano 2019 - 0 km;Belo Horizonte - MG;['Sensor de estacionamento', 'Central multimídia', 'Sensor crepuscular', 'Piloto automático'];mclaren-mp4-12c-3169307__340.png;OPORTUNIDADE
R$ 150.000;VWBEETLE;USADO;Motor Diesel V8;Ano 1992 - 108.055 km;Rio de Janeiro - RJ;['4 X 4', 'Teto panorâmico', 'Travas elétricas', 'Câmbio automático'];vwbeetle-836065__340.png;
R$ 305.000;FERRARI 360;USADO;Motor 5.0 V8 Bi-Turbo;Ano 1991 - 106.251 km;Belo Horizonte - MG;['Vidros elétricos', 'Rodas de liga', 'Travas elétricas', 'Sensor de chuva'];ferrari-360-2918130__340.png;
R$ 220.000;CITROEN;USADO;Motor 1.8 16v;Ano 1995 - 13.433 km;São Paulo - SP;['Piloto automático', 'Central multimídia', 'Câmera de estacionamento', 'Travas elétricas'];citroen-2749247__340.png;
R$ 176.000;FERRARI 458;USADO;Motor 3.0 32v;Ano 2000 - 75.458 km;Belo Horizonte - MG;['Controle de estabilidade', 'Câmbio automático', 'Painel digital', 'Bancos de couro'];ferrari-458-2816250__340.png;
R$ 201.000;OLDTIMERS;USADO;Motor Diesel;Ano 2015 - 41.735 km;Belo Horizonte - MG;['Vidros elétricos', 'Ar condicionado', 'Controle de estabilidade', 'Sensor crepuscular'];oldtimers-770407__340.png;
R$ 384.000;CAR PARTS WHITE;USADO;Motor 1.8 16v;Ano 2003 - 51.348 km;Rio de Janeiro - RJ;['Controle de estabilidade', 'Câmera de estacionamento', 'Câmbio automático', 'Ar condicionado'];car-parts-white-365353__340.png;
R$ 111.000;GOODYEAR;NOVO;Motor 5.0 V8 Bi-Turbo;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Freios ABS', 'Controle de tração', 'Teto panorâmico', 'Controle de estabilidade'];goodyear-1534185__340.png;
R$ 146.000;AFTERFX CUSTOM JEEP;USADO;Motor Diesel;Ano 2017 - 68.014 km;São Paulo - SP;['Controle de tração', 'Travas elétricas', '4 X 4', 'Vidros elétricos'];afterfx-custom-jeep-2774670__340.png;
R$ 319.000;WHITE LUXURY CAR;USADO;Motor 2.4 Turbo;Ano 1993 - 52.282 km;Rio de Janeiro - RJ;['Controle de tração', 'Ar condicionado', 'Freios ABS', 'Câmbio automático'];white-luxury-car-2663294__340.png;
R$ 86.000;LEXUS BREAK LIGHT;USADO;Motor 2.4 Turbo;Ano 2016 - 100.617 km;São Paulo - SP;['Rodas de liga', 'Freios ABS', 'Câmera de estacionamento', '4 X 4'];lexus-break-light-2770377__340.png;
R$ 188.000;FERRARI CALIFORNIA;NOVO;Motor V6;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Câmera de estacionamento', 'Rodas de liga', 'Controle de estabilidade', 'Sensor de estacionamento'];ferrari-california-3170346__340.png;
R$ 467.000;MERC;NOVO;Motor V6;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Ar condicionado', '4 X 4', 'Painel digital', 'Piloto automático'];merc-3850159__340.png;
R$ 69.000;LEXUS IS F;USADO;Motor V8;Ano 2013 - 79.881 km;São Paulo - SP;['Teto panorâmico', '4 X 4', 'Travas elétricas', 'Sensor de chuva'];lexus-is-f-2914268__340.png;OPORTUNIDADE
R$ 230.000;FORD MUSTANG;NOVO;Motor 1.0 8v;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Controle de tração', '4 X 4', 'Vidros elétricos', 'Ar condicionado'];ford-mustang-1162880__340.png;OPORTUNIDADE
R$ 463.000;PAGANI HUAYRA;NOVO;Motor Diesel V8;Ano 2019 - 0 km;São Paulo - SP;['Câmbio automático', 'Freios ABS', 'Sensor de chuva', 'Sensor crepuscular'];pagani-huayra-780059__340.png;
R$ 440.000;FIAT;USADO;Motor V6;Ano 2003 - 90.354 km;São Paulo - SP;['Sensor crepuscular', 'Piloto automático', 'Câmera de estacionamento', 'Painel digital'];fiat-2611853__340.png;
R$ 58.000;HOUSTON;USADO;Motor V8;Ano 1995 - 48.876 km;Rio de Janeiro - RJ;['4 X 4', 'Rodas de liga', 'Teto panorâmico', 'Controle de tração'];houston-3288450__340.png;
R$ 475.000;LEXUS;USADO;Motor Diesel V6;Ano 2006 - 43.186 km;Belo Horizonte - MG;['Sensor crepuscular', 'Bancos de couro', 'Piloto automático', 'Freios ABS'];lexus-1938299__340.png;OPORTUNIDADE
R$ 133.000;SPAIN;USADO;Motor 1.0 8v;Ano 2007 - 66.296 km;São Paulo - SP;['Central multimídia', 'Freios ABS', 'Sensor de chuva', 'Controle de estabilidade'];spain-2431682__340.png;OPORTUNIDADE
R$ 322.000;BORGWARD;NOVO;Motor 5.0 V8 Bi-Turbo;Ano 2019 - 0 km;São Paulo - SP;['Vidros elétricos', 'Controle de estabilidade', 'Piloto automático', 'Sensor crepuscular'];borgward-2824280__340.png;
R$ 138.000;SPOKES;USADO;Motor 4.0 Turbo;Ano 2016 - 72.469 km;Belo Horizonte - MG;['Câmbio automático', 'Freios ABS', 'Travas elétricas', 'Controle de tração'];spokes-1537965__340.png;
R$ 413.000;MUSCLE CAR;USADO;Motor Diesel V8;Ano 1991 - 107.498 km;São Paulo - SP;['Sensor de chuva', 'Teto panorâmico', 'Freios ABS', 'Controle de estabilidade'];muscle-car-1130607__340.png;
R$ 483.000;MCLAREN 650S;USADO;Motor 4.0 Turbo;Ano 1996 - 76.244 km;Rio de Janeiro - RJ;['Rodas de liga', 'Freios ABS', 'Controle de tração', 'Sensor de estacionamento'];mclaren-650s-2976031__340.png;
R$ 223.000;SPYKER C8;USADO;Motor 2.4 Turbo;Ano 2001 - 22.527 km;São Paulo - SP;['Bancos de couro', 'Câmbio automático', 'Travas elétricas', 'Teto panorâmico'];spyker-c8-2934067__340.png;
R$ 126.000;BOXSTER;USADO;Motor Diesel V6;Ano 2005 - 66.836 km;São Paulo - SP;['4 X 4', 'Câmbio automático', 'Painel digital', 'Piloto automático'];boxster-1771886__340.png;
R$ 354.000;ASTON MARTIN SHOOTING BRAKE ZAGATO;USADO;Motor Diesel V8;Ano 2007 - 22.225 km;Belo Horizonte - MG;['Teto panorâmico', 'Controle de estabilidade', 'Sensor de chuva', 'Sensor crepuscular'];aston-martin-shooting-brake-zagato-4345303__340.png;
R$ 132.000;PORSCHE 911;USADO;Motor V8;Ano 2007 - 97.778 km;Rio de Janeiro - RJ;['Central multimídia', '4 X 4', 'Bancos de couro', 'Controle de estabilidade'];porsche-911-2930668__340.png;
R$ 201.000;ASTON MARTIN DB11;USADO;Motor 1.0 8v;Ano 1995 - 95.124 km;São Paulo - SP;['Central multimídia', 'Bancos de couro', 'Sensor crepuscular', 'Sensor de estacionamento'];aston-martin-db11-2977862__340.png;
R$ 58.000;KAHULUI;NOVO;Motor V8;Ano 2019 - 0 km;São Paulo - SP;['Rodas de liga', 'Teto panorâmico', 'Sensor de chuva', 'Painel digital'];kahului-81951__340.png;
R$ 159.000;DAIMLER;USADO;Motor Diesel;Ano 1997 - 76.354 km;Belo Horizonte - MG;['Piloto automático', 'Câmera de estacionamento', 'Câmbio automático', 'Sensor crepuscular'];daimler-1354963__340.png;
R$ 167.000;RED CAR;USADO;Motor 1.0 8v;Ano 1993 - 11.015 km;Rio de Janeiro - RJ;['Sensor de estacionamento', 'Bancos de couro', 'Sensor de chuva', 'Teto panorâmico'];red-car-2675961__340.png;
R$ 249.000;PORSCHE;USADO;Motor 3.0 32v;Ano 1990 - 9.856 km;Belo Horizonte - MG;['Controle de estabilidade', 'Teto panorâmico', 'Freios ABS', '4 X 4'];porsche-1408486__340.png;
R$ 402.000;ASPHALT;NOVO;Motor 2.0 16v;Ano 2019 - 0 km;Rio de Janeiro - RJ;['Rodas de liga', 'Freios ABS', 'Controle de tração', 'Bancos de couro'];asphalt-1853590__340.png;
R$ 393.000;ASTON MARTIN VANTAGE;USADO;Motor 1.8 16v;Ano 2018 - 76.558 km;Rio de Janeiro - RJ;['Painel digital', 'Freios ABS', 'Controle de estabilidade', 'Sensor de chuva'];aston-martin-vantage-2930663__340.png;OPORTUNIDADE
